Language	Group	Data color	General color	Group color
Akhvakh	Andic	#9900ff	#b84dff	#9900ff
Andi	Andic	#003366	#0059b3	#9900ff
Bagvalal	Andic	#000066	#0000b3	#9900ff
Botlikh	Andic	#336699	#538cc6	#9900ff
Chamalal	Andic	#000099	#0000e6	#9900ff
Godoberi	Andic	#003399	#004de6	#9900ff
Karata	Andic	#666699	#9494b8	#9900ff
Tindi	Andic	#333399	#5353c6	#9900ff
Armenian	Armenian	white	grey	white
Avar	Avar	#009999	#00e6e6	#009999
Dargwa	Dargwa	#ff9900	#ffb84d	#ff9900
Khinalugh	Khinalugh	#cccc00	#ffff1a	#cccc00
Kumyk	Kipchak	white	grey	white
Nogai	Kipchak	white	grey	white
Lak	Lak	#cc9900	#ffc61a	#cc9900
Aghul	Lezgic	#00cc66	#1aff8c	#00cc66
Archi	Lezgic	#99cc00	#c6ff1a	#00cc66
Budukh	Lezgic	#006600	#00b300	#00cc66
Kryz	Lezgic	#009933	#00e64d	#00cc66
Lezgian	Lezgic	#00cc00	#1aff1a	#00cc66
Rutul	Lezgic	#009900	#00e600	#00cc66
Tabasaran	Lezgic	#339966	#53c68c	#00cc66
Tsakhur	Lezgic	#669900	#99e600	#00cc66
Udi	Lezgic	#003300	#008000	#00cc66
Bats	Nakh	#996633	#c68c53	#996633
Chechen	Nakh	#996600	#e69900	#996633
Ingush	Nakh	#663300	#b35900	#996633
Bezhta	Tsezic	#ff5050	#ff9999	#ff5050
Hinuq	Tsezic	#cc0000	#ff1a1a	#ff5050
Hunzib	Tsezic	#ff0066	#ff4d94	#ff5050
Tsez	Tsezic	#990033	#e6004c	#ff5050
Xvarshi	Tsezic	#993333	#c65353	#ff5050
North Azerbaijani	West Oghuz	white	grey	white
