CATEGORY	BIBTEXKEY	author	title	year	title_translation	publisher	address	pages	booktitle	booktitle_translation	editor	journal	note	number	school	url	volume	comment			
book	abdullaev1954 	Абдуллаев, Сайгид Н.	Грамматика даргинского языка	1954	Grammar of Dargwa	ИЯЛИ	Махачкала														
book	alekseevataev1997	Алексеев, Михаил Егорович и Атаев, Борис Махаевич	Аварский язык	1997	Avar language	Академия	Москва														
book	arsakhanov1969	Арсаханов, Исраил Абдулгамидович	Чеченская диалектология	1969	Chechen dialectology	Чечено-Ингушское книжное издательство	Грозный														
book	authier2009                     	Authier, Gilles	Grammaire Kryz	2009		Peeters	Paris														
book	baskakov1940                   	Баскаков, Николай А.	Ногайский язык и его диалекты: грамматика, тексты и словарь	1940	Nogai and its dialects: grammar, texts, and dictionary	Издательство Академии наук СССР	Москва														
book	bokarev1949 	Бокарёв, Анатолий А.	Очерк грамматики чамалинского языка	1949	Sketch of Chamalal grammar	Издательство Академии наук СССР	Москва/Ленинград														
book	bokarev1959                     	Бокарёв, Евгений А.	Цезские (дидойские) языки Дагестана	1959	Tsez (Didoic) languages of Daghestan	Академия	Москва														
book	cercvadze1965                   	Cercvadze, Ilia I.	Andiuri ena 	1965	The Andi language	Mecniereba	Tbilisi														
incollection	creissels2012                  	Creissels, Denis	External agreement in the converbal construction of Northern Akhvakh	2012		De Gruyter Mouton	Berlin/New York	127--156	Clause linkage in cross-linguistic perspective		Gast, Volker and Diessel, Holger										
book	dmitriev1940                   	Дмитриев, Николай К.	Грамматика кумыксого языка	1940	Grammar of Kumyk	Академия	Москва														
book	gasanova1971                   	Гасанова, Саида М.	Очерки даргинской диалектологии	1971	Sketches of Dargwa dialectology	ИЯЛИ	Махачкала														
book	ibragimov1978                   	Ибрагимов, Гарун Х.	Рутульский язык	1978	The Rutul language	Наука	Москва														
book	ibragimov2004                  	Ибрагимов, Гарун Х.	Рутульский язык: синхрония и диахрония	2004	The Rutul language: synchrony and diachrony	Народы Дагестана	Махачкала														
book	ikhilov1976 	Ихилов, Михаил М.	Народности лезгинской группы	1967	Nationalities of the Lezgic group	ИЯЛИ	Махачкала														
book	khajdakov1966                   	Хайдаков, Саид М.	Очерки по лакской диалектологии	1966	Sketches of Lak dialectology	Наука	Москва														
book	kibrik1999                     	Kibrik, Aleksandr E. and Testelec, Jakov G.	Элементы цахурского языка в типологическом освещении	1999	Elements of Tsakhur grammar from a typological perspective	Наследие	Москва														
book	korjakov2006	Коряков, Юрий Б.	Атлас кавказских языков	2006	Atlas of Caucasian languages	Пилигрим	Москва														
book	magomedbekova1971	Магомедбекова, Загидат М.	Каратинский язык	1971	The Karata language	Мецниереба	Тбилиси														
book	magomedova1999	Магомедова, Патимат Т.	Чамалинско-русский словарь	1999	Chamalal-Russian dictionary	ИЯЛИ	Махачкала														
book	magomedova2004	Магомедова, Патимат Т.	Багвалинско-русский словарь	2004	Bagvalal-Russian dictionary	ИЯЛИ	Махачкала														
book	magometov1965	Магометов, Александр А.	Табасаранский язык: исследование и тексты	1965	The Tabasaran lannguage: research and texts	Мецниереба	Тбилиси														
book	magometov1970	Магометов, Александр А.	Агульский язык	1970	Aghul	Мецниереба	Тбилиси														
book	maisak2014	Майсак, Тимур А.	Агульские тексты 1900-1960-х годов.	2014	Agul texts from 1900-1960	Academia	Москва														
book	saidova2008	Саидова, Патимат А.	Диалектологический словарь аварского языка	2008	Avar dialect dictionary	Наука	Санкт-Петербург														
book	saidovaabusov2012	Саидова, П.А.и Абусов, М.Г.	Ботлихско-русский словарь	2012	Botlikh-Russian Dictionary	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала														CORRECTED
book	shaumian1941 	Шаумян, Рафаэль Михайлович	Грамматический очерк агульского языка. С текстами и словарем	1941	Grammar sketch of Agul. With texts and a dictionary	Издательство Академии Наук СССР	Москва/Ленинград														
phdthesis	sulejmanov1957	Сулейманов, Я. Г.	Грамматический очерк андийского языка (по данным говора с. Риквани)	1957	A grammar sketch of Andi (based on the data from the Rikvani dialect)	Институт языкознания РАН СССР	Москва														
book	talibov2007	Талибов, Букар Б.	Будухский язык	2007	Budukh	Академия	Москва														
book	vandenberg1995	van den Berg, Helma	A grammar of Hunzib	1995		Lincom	Munich														
book	saidova2007	Саидова, Патимат А.	Закатальский диалект аварского языка	2007	The Zaqatala dialect of Avar	ИЯЛИ	Махачкала														
unpublished	suleymanov2017	Suleymanov, Murad	Adpositional Constructions in Upper Şirvan Tat	2017									1st North American Conference in Iranian Linguistics, 28-30.04.2017, State University of New York at Stony Brook (Presentation)			https://www.stonybrook.edu/commcms/nacil/pdfs/slides-handouts/Suleymanov_NACIL1Slides.pdf					
