Language	Group	Family	Glottocode
Aghul	Lezgic	Nakh-Daghestanian	aghu1253
Akhvakh	Andic	Nakh-Daghestanian	akhv1239
Andi	Andic	Nakh-Daghestanian	andi1255
Archi	Lezgic	Nakh-Daghestanian	arch1244
Armenian	Armenian	Indo-European	nucl1235
Avar	Avar	Nakh-Daghestanian	avar1256
Bagvalal	Andic	Nakh-Daghestanian	bagv1239
Bats	Nakh	Nakh-Daghestanian	bats1242
Bezhta	Tsezic	Nakh-Daghestanian	bezh1248
Botlikh	Andic	Nakh-Daghestanian	botl1242
Budukh	Lezgic	Nakh-Daghestanian	budu1248
Chamalal	Andic	Nakh-Daghestanian	cham1309
Chechen	Nakh	Nakh-Daghestanian	chec1245
Dargwa	Dargwa	Nakh-Daghestanian	darg1241
Godoberi	Andic	Nakh-Daghestanian	ghod1238
Hinuq	Tsezic	Nakh-Daghestanian	hinu1240
Hunzib	Tsezic	Nakh-Daghestanian	hunz1247
Ingush	Nakh	Nakh-Daghestanian	ingu1240
Karata	Andic	Nakh-Daghestanian	kara1474
Khinalugh	Khinalugh	Nakh-Daghestanian	khin1240
Kryz	Lezgic	Nakh-Daghestanian	kryt1240
Kumyk	Kipchak	Turkic	kumy1244
Lak	Lak	Nakh-Daghestanian	lakk1252
Lezgian	Lezgic	Nakh-Daghestanian	lezg1247
Nogai	Kipchak	Turkic	noga1249
North Azerbaijani	West Oghuz	Turkic	nort2697
Rutul	Lezgic	Nakh-Daghestanian	rutu1240
Tabasaran	Lezgic	Nakh-Daghestanian	taba1259
Tindi	Andic	Nakh-Daghestanian	tind1238
Tsakhur	Lezgic	Nakh-Daghestanian	tsak1249
Tsez	Tsezic	Nakh-Daghestanian	dido1241
Udi	Lezgic	Nakh-Daghestanian	udii1243
Xvarshi	Tsezic	Nakh-Daghestanian	khva1239
